رقم الوحدة,اسم المنطقة / مشروع,الدور,مصعد,مساحة الوحدة,نسبة التميز,سعر المتر,قيمة الوحدة,جدية الحجز,استكمال الـ 20%+ 1% مصاريف ادارية + 0.5% مجلس امناء,10% من قيمة الوحدة عند الاستلام ,القسط الربع سنوي علي 3 سنوات,القسط الربع سنوي علي 5 سنوات,القسط الربع سنوي علي 7 سنوات,متاحة؟
1,العلمين / الساحل الشمالي ,الأرضي,مصعد,110,1,7970,876700,70000,118491,87670,71980,50457,41691,متاحة
2,العلمين / الساحل الشمالي ,الأرضي,مصعد,120,1,7970,956400,70000,135626,95640,78523,55044,45481,متاحة
3,العلمين / الساحل الشمالي ,الأرضي,مصعد,120,1,7970,956400,70000,135626,95640,78523,55044,45481,متاحة
4,العلمين / الساحل الشمالي ,الأرضي,مصعد,110,1,7970,876700,70000,118491,87670,71980,50457,41691,متاحة
5,العلمين / الساحل الشمالي ,الأول,مصعد,130,1.05,7970,1087905,70000,163900,108791,89320,62613,51735,متاحة
6,العلمين / الساحل الشمالي ,الأول,مصعد,120,1.05,7970,1004220,70000,145907,100422,82449,57796,47755,متاحة
7,العلمين / الساحل الشمالي ,الأول,مصعد,120,1.05,7970,1004220,70000,145907,100422,82449,57796,47755,متاحة
8,العلمين / الساحل الشمالي ,الأول,مصعد,130,1.05,7970,1087905,70000,163900,108791,89320,62613,51735,متاحة
9,العلمين / الساحل الشمالي ,الثاني,مصعد,133,1.05,7970,1113011,70000,169297,111301,91381,64058,52929,متاحة
10,العلمين / الساحل الشمالي ,الثاني,مصعد,122,1.05,7970,1020957,70000,149506,102096,83823,58760,48551,متاحة
11,العلمين / الساحل الشمالي ,الثاني,مصعد,120,1.05,7970,1004220,70000,145907,100422,82449,57796,47755,متاحة
12,العلمين / الساحل الشمالي ,الثاني,مصعد,130,1.05,7970,1087905,70000,163900,108791,89320,62613,51735,متاحة
13,العلمين / الساحل الشمالي ,الثالث,مصعد,130,1.05,7970,1087905,70000,163900,108791,89320,62613,51735,متاحة
14,العلمين / الساحل الشمالي ,الثالث,مصعد,120,1.05,7970,1004220,70000,145907,100422,82449,57796,47755,متاحة
15,العلمين / الساحل الشمالي ,الثالث,مصعد,120,1.05,7970,1004220,70000,145907,100422,82449,57796,47755,متاحة
16,العلمين / الساحل الشمالي ,الثالث,مصعد,130,1.05,7970,1087905,70000,163900,108791,89320,62613,51735,متاحة
17,العلمين / الساحل الشمالي ,الرابع,مصعد,130,1.05,7970,1087905,70000,163900,108791,89320,62613,51735,متاحة
18,العلمين / الساحل الشمالي ,الرابع,مصعد,120,1.05,7970,1004220,70000,145907,100422,82449,57796,47755,متاحة
19,العلمين / الساحل الشمالي ,الرابع,مصعد,120,1.05,7970,1004220,70000,145907,100422,82449,57796,47755,متاحة
20,العلمين / الساحل الشمالي ,الرابع,مصعد,130,1.05,7970,1087905,70000,163900,108791,89320,62613,51735,متاحة
21,العلمين / الساحل الشمالي ,الخامس,مصعد,130,1.05,7970,1087905,70000,163900,108791,89320,62613,51735,متاحة
22,العلمين / الساحل الشمالي ,الخامس,مصعد,120,1.05,7970,1004220,70000,145907,100422,82449,57796,47755,متاحة
23,العلمين / الساحل الشمالي ,الخامس,مصعد,122,1.05,7970,1020957,70000,149506,102096,83823,58760,48551,متاحة
24,العلمين / الساحل الشمالي ,الخامس,مصعد,133,1.05,7970,1113011,70000,169297,111301,91381,64058,52929,متاحة
25,العلمين / الساحل الشمالي ,السادس,مصعد,130,1.05,7970,1087905,70000,163900,108791,89320,62613,51735,متاحة
26,العلمين / الساحل الشمالي ,السادس,مصعد,120,1.05,7970,1004220,70000,145907,100422,82449,57796,47755,متاحة
27,العلمين / الساحل الشمالي ,السادس,مصعد,120,1.05,7970,1004220,70000,145907,100422,82449,57796,47755,متاحة
28,العلمين / الساحل الشمالي ,السادس,مصعد,130,1.05,7970,1087905,70000,163900,108791,89320,62613,51735,متاحة
29,العلمين / الساحل الشمالي ,الأخير,مصعد,130,1,7970,1036100,70000,152762,103610,85067,59631,49271,متاحة
30,العلمين / الساحل الشمالي ,الأخير,مصعد,120,1,7970,956400,70000,135626,95640,78523,55044,45481,متاحة
31,العلمين / الساحل الشمالي ,الأخير,مصعد,120,1,7970,956400,70000,135626,95640,78523,55044,45481,متاحة
32,العلمين / الساحل الشمالي ,الأخير,مصعد,130,1,7970,1036100,70000,152762,103610,85067,59631,49271,متاحة
